version,type,turn_level_f1,turn_level_precision,turn_level_recall,slot_left_f1,slot_through_f1,slot_right_f1,slot_approach_f1,arm_L_f1,arm_LT_f1,arm_T_f1,arm_TR_f1,arm_R_f1,arm_mean_f1
version_18,raw,0.318716191849982,0.25046760754973646,0.43808862892832356,0.6453912748260058,0.6455952819756726,0.5624404194470926,0.7406530669080277,0.11354420113544202,0.6195536663124336,0.2565104166666667,0.5582839401637031,0.17555196553581046,0.390169184710715
version_18,bin,0.318716191849982,0.25046760754973646,0.43808862892832356,0.6453912748260058,0.6455952819756726,0.5624404194470926,0.7406530669080277,0.11354420113544202,0.6195536663124336,0.2565104166666667,0.5582839401637031,0.17555196553581046,0.390169184710715
version_18,processed,0.07712924573719722,0.04157822159557491,0.5320709824526618,0.28130958217573676,0.738754177019964,0.48806634304207125,0.4838795427790225,0.0955354355291914,0.0387382401770891,0.12486308871851041,0.5209893351486272,0.2306368330464716,0.17043253712072304
version_41,raw,0.4149333333333333,0.3539333706606943,0.5013383563001884,0.6738399462004034,0.7002601406686578,0.6729479978256929,0.8099596649084705,0.14342629482071714,0.5580389329488104,0.18659420289855072,0.4553250345781466,0.1391614629794826,0.3658082531802668
version_41,bin,0.4149333333333333,0.3539333706606943,0.5013383563001884,0.6738399462004034,0.7002601406686578,0.6729479978256929,0.8099596649084705,0.14342629482071714,0.5580389329488104,0.18659420289855072,0.4553250345781466,0.1391614629794826,0.3658082531802668
version_41,processed,0.3320965283170823,0.23391410048622366,0.5723208089620303,0.7029529130087789,0.6845276721980161,0.71049983227105,0.8052151610145339,0.13897662665824384,0.5792771084337349,0.1529260999572832,0.48853832881439485,0.16897305171158047,0.3724707893986891
version_43,raw,0.4310896621793243,0.4420712648468431,0.42064042827401604,0.6094306049822065,0.6948001552192472,0.6141834743005856,0.796754498714653,0.09954751131221717,0.48619768477292963,0.2935267857142857,0.4470661285315119,0.12380122057541412,0.35025706940874035
version_43,bin,0.4310896621793243,0.4420712648468431,0.42064042827401604,0.6094306049822065,0.6948001552192472,0.6141834743005856,0.796754498714653,0.09954751131221717,0.48619768477292963,0.2935267857142857,0.4470661285315119,0.12380122057541412,0.35025706940874035
version_43,processed,0.3060761873168574,0.2122129796450339,0.5488252205809457,0.6885572139303482,0.6642533936651585,0.6839639639639641,0.771113655883195,0.14898102600140548,0.5787150564001962,0.18076001369394043,0.483619344773791,0.14127659574468088,0.36802175780131685
version_45,raw,0.49022570592123904,0.4680371472364981,0.5146227817983543,0.6822664861728872,0.8136437673661013,0.6414428543422858,0.8005943071629652,0.016343207354443307,0.6864298492205468,0.4644007155635062,0.5897435897435898,0.06482982171799029,0.48451673443853616
version_45,bin,0.49022570592123904,0.4680371472364981,0.5146227817983543,0.6822664861728872,0.8136437673661013,0.6414428543422858,0.8005943071629652,0.016343207354443307,0.6864298492205468,0.4644007155635062,0.5897435897435898,0.06482982171799029,0.48451673443853616
version_45,processed,0.385065976075965,0.27943084701776366,0.6191137107167641,0.7114248194353251,0.7911032028469751,0.6140052558355232,0.8106978085351787,0.18782608695652175,0.620561738208797,0.3420734167002824,0.5646047289228564,0.08258527827648114,0.4280565167243368
baseline,rule-based,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5680238331678252,0.8369723435225619,0.608695652173913,0.7238805970149254,0.4768104149715215,0.6890057286353293
